index,sw_ticks,qpc_position,device_position,frames,flags,phase
479,2586824685757,2586824793843,345712320,480,0,0
480,2586824685807,2586824894080,345712800,480,0,0
481,2586824840312,2586824999972,345713280,480,0,0
482,2586824995613,2586825094930,345713760,480,0,0
483,2586824995647,2586825200160,345714240,480,0,0
484,2586825161961,2586825295359,345714720,480,0,0
485,2586825317982,2586825401061,345715200,480,0,0
486,2586825318034,2586825501099,345715680,480,0,0
487,2586825474258,2586825596694,345716160,480,0,0
488,2586825474329,2586825701903,345716640,480,0,0
489,2586825628506,2586825796975,345717120,480,0,0
490,2586825784560,2586825897309,345717600,480,0,0
491,2586825784607,2586825997760,345718080,480,0,0
492,2586825944541,2586826092993,345718560,480,0,0
493,2586826100952,2586826198292,345719040,480,0,0
494,2586826101019,2586826293529,345719520,480,0,0
495,2586826255224,2586826393892,345720000,480,0,0
496,2586826412927,2586826501426,345720480,480,0,0
497,2586826412969,2586826597113,345720960,480,0,0
498,2586826568638,2586826701981,345721440,480,0,0
499,2586826568690,2586826797195,345721920,480,0,0
500,2586826724677,2586826897847,345722400,480,0,0
501,2586826875165,2586826998906,345722880,480,0,0
502,2586826875218,2586827093849,345723360,480,0,0
503,2586827030606,2586827199311,345723840,480,0,0
504,2586827186762,2586827294333,345724320,480,0,0
505,2586827186821,2586827394610,345724800,480,0,0
506,2586827342710,2586827500525,345725280,480,0,0
507,2586827502878,2586827595774,345725760,480,0,0
508,2586827502942,2586827700929,345726240,480,0,0
509,2586827657510,2586827796314,345726720,480,0,0
510,2586827813593,2586827901725,345727200,480,0,0
511,2586827813650,2586827997028,345727680,480,0,0
512,2586827969507,2586828102507,345728160,480,0,0
513,2586827970111,2586828197598,345728640,480,0,0
514,2586828119634,2586828292837,345729120,480,0,0
515,2586828285270,2586828398164,345729600,480,0,0
516,2586828285313,2586828498689,345730080,480,0,0
517,2586828445294,2586828593906,345730560,480,0,0
518,2586828606804,2586828699548,345731040,480,0,0
519,2586828606837,2586828794540,345731520,480,0,0
520,2586828760511,2586828899920,345732000,480,0,0
521,2586828922247,2586829000699,345732480,480,0,0
522,2586828922335,2586829100746,345732960,480,0,0
523,2586829082146,2586829195975,345733440,480,0,0
524,2586829082183,2586829301323,345733920,480,0,0
525,2586829239548,2586829398080,345734400,480,0,0
526,2586829390279,2586829498791,345734880,480,0,0
527,2586829390322,2586829593725,345735360,480,0,0
528,2586829541117,2586829699116,345735840,480,0,0
529,2586829696751,2586829794299,345736320,480,0,0
530,2586829696797,2586829894559,345736800,480,0,0
531,2586829852252,2586830000101,345737280,480,0,0
532,2586830012105,2586830095345,345737760,480,0,0
533,2586830012149,2586830200960,345738240,480,0,0
534,2586830172645,2586830295797,345738720,480,0,0
535,2586830172713,2586830401183,345739200,480,0,0
536,2586830337960,2586830497256,345739680,480,0,0
537,2586830493996,2586830601976,345740160,480,0,0
538,2586830494060,2586830697271,345740640,480,0,0
539,2586830648736,2586830802730,345741120,480,0,0
540,2586830805098,2586830897787,345741600,480,0,0
541,2586830805142,2586830998402,345742080,480,0,0
542,2586830960180,2586831093554,345742560,480,0,0
543,2586831120948,2586831199103,345743040,480,0,0
544,2586831120973,2586831294164,345743520,480,0,0
545,2586831281427,2586831394405,345744000,480,0,0
546,2586831281470,2586831500160,345744480,480,0,0
547,2586831437312,2586831595466,345744960,480,0,0
548,2586831598524,2586831700979,345745440,480,0,0
549,2586831598572,2586831796087,345745920,480,0,0
550,2586831752544,2586831901819,345746400,480,0,0
551,2586831911856,2586831999693,345746880,480,0,0
552,2586831911918,2586832094826,345747360,480,0,0
553,2586832067171,2586832200097,345747840,480,0,0
554,2586832067208,2586832295559,345748320,480,0,0
555,2586832227281,2586832400941,345748800,480,0,0
556,2586832382929,2586832496406,345749280,480,0,0
557,2586832382990,2586832601801,345749760,480,0,0
558,2586832538766,2586832697650,345750240,480,0,0
559,2586832693930,2586832802457,345750720,480,0,0
560,2586832693974,2586832897563,345751200,480,0,0
561,2586832849812,2586832998014,345751680,480,0,0
562,2586833004073,2586833093259,345752160,480,0,0
563,2586833004112,2586833198895,345752640,480,0,0
564,2586833160460,2586833294045,345753120,480,0,0
565,2586833316067,2586833394150,345753600,480,0,0
566,2586833316117,2586833500086,345754080,480,0,0
567,2586833471917,2586833594988,345754560,480,0,0
568,2586833471986,2586833700403,345755040,480,0,0
569,2586833627173,2586833795453,345755520,480,0,0
570,2586833782377,2586833900992,345756000,480,0,0
571,2586833782419,2586834001292,345756480,480,0,0
572,2586833937893,2586834096751,345756960,480,0,0
573,2586834098792,2586834201765,345757440,480,0,0
574,2586834098836,2586834297166,345757920,480,0,0
575,2586834254183,2586834397754,345758400,480,0,0
